OMNET-car[0] - SUMO-car[0]: -101332765#0
OMNET-car[1] - SUMO-car[1]: -101332765#1
OMNET-car[2] - SUMO-car[10]: -1055983338#7
OMNET-car[3] - SUMO-car[100]: -37871790#10
OMNET-car[4] - SUMO-car[101]: -37871790#13
OMNET-car[5] - SUMO-car[102]: -37871790#14
OMNET-car[6] - SUMO-car[103]: -37871790#16
OMNET-car[7] - SUMO-car[104]: -37871790#18
OMNET-car[8] - SUMO-car[105]: -37871790#2
OMNET-car[9] - SUMO-car[106]: -37871790#20
OMNET-car[10] - SUMO-car[107]: -37871790#22
OMNET-car[11] - SUMO-car[108]: -37871790#24
OMNET-car[12] - SUMO-car[109]: -37871790#25
OMNET-car[13] - SUMO-car[11]: -111020475#0
OMNET-car[14] - SUMO-car[110]: -37871790#3
OMNET-car[15] - SUMO-car[111]: -37871790#5
OMNET-car[16] - SUMO-car[112]: -37871790#7
OMNET-car[17] - SUMO-car[113]: -37871790#8
OMNET-car[18] - SUMO-car[114]: -37981426#0
OMNET-car[19] - SUMO-car[115]: -37981426#1
OMNET-car[20] - SUMO-car[116]: -37981426#3
OMNET-car[21] - SUMO-car[117]: -37981426#5
OMNET-car[22] - SUMO-car[118]: -37981426#8
OMNET-car[23] - SUMO-car[119]: -38322099
OMNET-car[24] - SUMO-car[12]: -111020475#3
OMNET-car[25] - SUMO-car[120]: -39671525#3
OMNET-car[26] - SUMO-car[121]: -449972311#0
OMNET-car[27] - SUMO-car[122]: -449972311#1
OMNET-car[28] - SUMO-car[123]: -50732506#0
OMNET-car[29] - SUMO-car[124]: -50732506#2
OMNET-car[30] - SUMO-car[125]: -719999239#2
OMNET-car[31] - SUMO-car[126]: -730121292#1
OMNET-car[32] - SUMO-car[127]: -80877381#2
OMNET-car[33] - SUMO-car[128]: -80877388#2
OMNET-car[34] - SUMO-car[129]: -80877388#3
OMNET-car[35] - SUMO-car[13]: -1181812801#2
OMNET-car[36] - SUMO-car[130]: -80877388#4
OMNET-car[37] - SUMO-car[131]: -839327615#2
OMNET-car[38] - SUMO-car[132]: -839327616#1
OMNET-car[39] - SUMO-car[133]: -839327616#3
OMNET-car[40] - SUMO-car[134]: -839562408#1
OMNET-car[41] - SUMO-car[135]: -921849958#2
OMNET-car[42] - SUMO-car[136]: -96985027
OMNET-car[43] - SUMO-car[137]: 101332765#1
OMNET-car[44] - SUMO-car[138]: 101332768#0
OMNET-car[45] - SUMO-car[139]: 101332768#1
OMNET-car[46] - SUMO-car[14]: -120517721
OMNET-car[47] - SUMO-car[140]: 101332768#2
OMNET-car[48] - SUMO-car[141]: 1031294018
OMNET-car[49] - SUMO-car[142]: 1055419159
OMNET-car[50] - SUMO-car[143]: 1055422268#1
OMNET-car[51] - SUMO-car[144]: 1055733688#1
OMNET-car[52] - SUMO-car[145]: 1055983337
OMNET-car[53] - SUMO-car[146]: 1055983338#0
OMNET-car[54] - SUMO-car[147]: 1055983338#4
OMNET-car[55] - SUMO-car[148]: 1055983338#5
OMNET-car[56] - SUMO-car[149]: 1055983338#6
OMNET-car[57] - SUMO-car[15]: -1219540847#1
OMNET-car[58] - SUMO-car[150]: 1055983338#7
OMNET-car[59] - SUMO-car[151]: 1067810267#0
OMNET-car[60] - SUMO-car[152]: 107568890#0
OMNET-car[61] - SUMO-car[153]: 107568890#2
OMNET-car[62] - SUMO-car[154]: 107568890#3
OMNET-car[63] - SUMO-car[155]: 107568890#4
OMNET-car[64] - SUMO-car[156]: 107568890#5
OMNET-car[65] - SUMO-car[157]: 107623504
OMNET-car[66] - SUMO-car[158]: 1102250287#0
OMNET-car[67] - SUMO-car[159]: 1102250287#1
OMNET-car[68] - SUMO-car[16]: -1257931284
OMNET-car[69] - SUMO-car[160]: 1102250287#2
OMNET-car[70] - SUMO-car[161]: 1102250287#3
OMNET-car[71] - SUMO-car[162]: 110801297#0
OMNET-car[72] - SUMO-car[163]: 110801297#1
OMNET-car[73] - SUMO-car[164]: 110801308#0
OMNET-car[74] - SUMO-car[165]: 110801308#2
OMNET-car[75] - SUMO-car[166]: 110801308#3
OMNET-car[76] - SUMO-car[167]: 111020472#1
OMNET-car[77] - SUMO-car[168]: 111020475#0
OMNET-car[78] - SUMO-car[169]: 111020475#1
OMNET-car[79] - SUMO-car[17]: -1257931285
OMNET-car[80] - SUMO-car[170]: 1111320700#0
OMNET-car[81] - SUMO-car[171]: 1111320700#1
OMNET-car[82] - SUMO-car[172]: 1117123169#0
OMNET-car[83] - SUMO-car[173]: 1117123169#1
OMNET-car[84] - SUMO-car[174]: 1117123169#2
OMNET-car[85] - SUMO-car[175]: 1117123169#3
OMNET-car[86] - SUMO-car[176]: 1117123169#4
OMNET-car[87] - SUMO-car[177]: 1117123169#5
OMNET-car[88] - SUMO-car[178]: 1117123169#6
OMNET-car[89] - SUMO-car[179]: 1117123169#7
OMNET-car[90] - SUMO-car[18]: -127736995#3
OMNET-car[91] - SUMO-car[180]: 1117123169#8
OMNET-car[92] - SUMO-car[181]: 1117123171
OMNET-car[93] - SUMO-car[182]: 1117123173#0
OMNET-car[94] - SUMO-car[183]: 1117123173#1
OMNET-car[95] - SUMO-car[184]: 1157626540#0
OMNET-car[96] - SUMO-car[185]: 1157626540#1
OMNET-car[97] - SUMO-car[186]: 1157626540#3
OMNET-car[98] - SUMO-car[187]: 116037030
OMNET-car[99] - SUMO-car[188]: 1181812799
OMNET-car[100] - SUMO-car[189]: 1181812800#0
OMNET-car[101] - SUMO-car[19]: -127737000#4
OMNET-car[102] - SUMO-car[190]: 1181812800#2
OMNET-car[103] - SUMO-car[191]: 1181812801#0
OMNET-car[104] - SUMO-car[192]: 120517721
OMNET-car[105] - SUMO-car[193]: 121209203#0
OMNET-car[106] - SUMO-car[194]: 121209203#1
OMNET-car[107] - SUMO-car[195]: 121411083#1
OMNET-car[108] - SUMO-car[196]: 121411083#2
OMNET-car[109] - SUMO-car[197]: 1219540847#1
OMNET-car[110] - SUMO-car[198]: 123480917#0
OMNET-car[111] - SUMO-car[199]: 123480917#1
OMNET-car[112] - SUMO-car[2]: -1031294018
OMNET-car[113] - SUMO-car[20]: -127737008#1
OMNET-car[114] - SUMO-car[200]: 123480917#2
OMNET-car[115] - SUMO-car[201]: 1246915842
OMNET-car[116] - SUMO-car[202]: 125743679
OMNET-car[117] - SUMO-car[203]: 125743680
OMNET-car[118] - SUMO-car[204]: 1257931284
OMNET-car[119] - SUMO-car[205]: 1257931285
OMNET-car[120] - SUMO-car[206]: 127736988#0
OMNET-car[121] - SUMO-car[207]: 127736988#1
OMNET-car[122] - SUMO-car[208]: 127736993#0
OMNET-car[123] - SUMO-car[209]: 127736993#1
OMNET-car[124] - SUMO-car[21]: -127900938#2
OMNET-car[125] - SUMO-car[210]: 127736995#0
OMNET-car[126] - SUMO-car[211]: 127736997
OMNET-car[127] - SUMO-car[212]: 127736998
OMNET-car[128] - SUMO-car[213]: 127736999#0
OMNET-car[129] - SUMO-car[214]: 127736999#1
OMNET-car[130] - SUMO-car[215]: 127737000#2
OMNET-car[131] - SUMO-car[216]: 127737001#1
OMNET-car[132] - SUMO-car[217]: 127737001#2
OMNET-car[133] - SUMO-car[218]: 127737001#3
OMNET-car[134] - SUMO-car[219]: 127737001#4
OMNET-car[135] - SUMO-car[22]: -127900948#0
OMNET-car[136] - SUMO-car[220]: 127737002#0
OMNET-car[137] - SUMO-car[221]: 127737002#1
OMNET-car[138] - SUMO-car[222]: 127737002#2
OMNET-car[139] - SUMO-car[223]: 127737004#2
OMNET-car[140] - SUMO-car[224]: 127737004#3
OMNET-car[141] - SUMO-car[225]: 127737004#4
OMNET-car[142] - SUMO-car[226]: 127737005#0
OMNET-car[143] - SUMO-car[227]: 127737005#1
OMNET-car[144] - SUMO-car[228]: 127737005#4
OMNET-car[145] - SUMO-car[229]: 127737008#1
OMNET-car[146] - SUMO-car[23]: -127900948#1
OMNET-car[147] - SUMO-car[230]: 127900938#0
OMNET-car[148] - SUMO-car[231]: 127900943#1
OMNET-car[149] - SUMO-car[232]: 127900943#3
OMNET-car[150] - SUMO-car[233]: 127900948#0
OMNET-car[151] - SUMO-car[234]: 127900948#1
OMNET-car[152] - SUMO-car[235]: 127900955#0
OMNET-car[153] - SUMO-car[236]: 127900955#1
OMNET-car[154] - SUMO-car[237]: 127900959#1
OMNET-car[155] - SUMO-car[238]: 127900959#2
OMNET-car[156] - SUMO-car[239]: 1280105549
OMNET-car[157] - SUMO-car[24]: -1303971522#2
OMNET-car[158] - SUMO-car[240]: 128039744#0
OMNET-car[159] - SUMO-car[241]: 128039744#1
OMNET-car[160] - SUMO-car[242]: 128039744#2
OMNET-car[161] - SUMO-car[243]: 128039757
OMNET-car[162] - SUMO-car[244]: 128039759#1
OMNET-car[163] - SUMO-car[245]: 128039759#2
OMNET-car[164] - SUMO-car[246]: 128039760#1
OMNET-car[165] - SUMO-car[247]: 128039760#2
OMNET-car[166] - SUMO-car[248]: 128039760#3
OMNET-car[167] - SUMO-car[249]: 1303971522#2
OMNET-car[168] - SUMO-car[25]: -1305462789#2
OMNET-car[169] - SUMO-car[250]: 1305398463
OMNET-car[170] - SUMO-car[251]: 1305398464
OMNET-car[171] - SUMO-car[252]: 1305447699#0
OMNET-car[172] - SUMO-car[253]: 1305447699#1
OMNET-car[173] - SUMO-car[254]: 1305447699#2
OMNET-car[174] - SUMO-car[255]: 1305462787#0
OMNET-car[175] - SUMO-car[256]: 1305462789#0
OMNET-car[176] - SUMO-car[257]: 1305462790
OMNET-car[177] - SUMO-car[258]: 1305462791#0
OMNET-car[178] - SUMO-car[259]: 1305462791#1
OMNET-car[179] - SUMO-car[26]: -1305462798#2
OMNET-car[180] - SUMO-car[260]: 1305462791#2
OMNET-car[181] - SUMO-car[261]: 1305462793#0
OMNET-car[182] - SUMO-car[262]: 1305462793#1
OMNET-car[183] - SUMO-car[263]: 1305462793#2
OMNET-car[184] - SUMO-car[264]: 1305462794#0
OMNET-car[185] - SUMO-car[265]: 1305462794#1
OMNET-car[186] - SUMO-car[266]: 1305462794#2
OMNET-car[187] - SUMO-car[267]: 1305462794#3
OMNET-car[188] - SUMO-car[268]: 1305462795#0
OMNET-car[189] - SUMO-car[269]: 1305462795#1
OMNET-car[190] - SUMO-car[27]: -1307229584#3
OMNET-car[191] - SUMO-car[270]: 1305462797#0
OMNET-car[192] - SUMO-car[271]: 1305462797#1
OMNET-car[193] - SUMO-car[272]: 1305462797#2
OMNET-car[194] - SUMO-car[273]: 1305462798#0
OMNET-car[195] - SUMO-car[274]: 1305462800
OMNET-car[196] - SUMO-car[275]: 1305462801
OMNET-car[197] - SUMO-car[276]: 1305598365#0
OMNET-car[198] - SUMO-car[277]: 1305598367
OMNET-car[199] - SUMO-car[278]: 1305598370#2
OMNET-car[200] - SUMO-car[279]: 1305598375#1
OMNET-car[201] - SUMO-car[28]: -1307250188#2
OMNET-car[202] - SUMO-car[280]: 1305598380#1
OMNET-car[203] - SUMO-car[281]: 1305598383
OMNET-car[204] - SUMO-car[282]: 1307207186#2
OMNET-car[205] - SUMO-car[283]: 1307207215#2
OMNET-car[206] - SUMO-car[284]: 1307229584#1
OMNET-car[207] - SUMO-car[285]: 1307250182#2
OMNET-car[208] - SUMO-car[286]: 1307250188#0
