vehículo[0]: 10.5444266666664Mbps
vehículo[1]: 0.09408Mbps
vehículo[2]: 23.7044266666664Mbps
vehículo[3]: 23.49536Mbps
vehículo[4]: 0.09482666666666399Mbps
vehículo[5]: 16.0510933333336Mbps
vehículo[6]: 20.9253333333336Mbps
vehículo[7]: 24.826666666666398Mbps
vehículo[8]: 0.10229333333333601Mbps
vehículo[9]: 0.09482666666666399Mbps
vehículo[10]: 0.09482666666666399Mbps
vehículo[11]: 0.09482666666666399Mbps
vehículo[12]: 0.09482666666666399Mbps
vehículo[13]: 0.09482666666666399Mbps
vehículo[14]: 0.09482666666666399Mbps
vehículo[15]: 0.082133333333336Mbps
vehículo[16]: 0.09482666666666399Mbps
vehículo[17]: 10.73856Mbps
vehículo[18]: 0.09482666666666399Mbps
vehículo[19]: 0.09482666666666399Mbps
vehículo[20]: 0.09482666666666399Mbps
vehículo[21]: 11.2052266666664Mbps
vehículo[22]: 0.09482666666666399Mbps
vehículo[23]: 0.09482666666666399Mbps
vehículo[24]: 0.09482666666666399Mbps
vehículo[25]: 0.09482666666666399Mbps
vehículo[26]: 0.10976Mbps
vehículo[27]: 0.09482666666666399Mbps
vehículo[28]: 0.09482666666666399Mbps
vehículo[29]: 0.09482666666666399Mbps
vehículo[30]: 24.8117333333336Mbps
vehículo[31]: 0.09482666666666399Mbps
vehículo[32]: 0.09482666666666399Mbps
vehículo[33]: 24.8274133333336Mbps
vehículo[34]: 24.82144Mbps
vehículo[35]: 0.09482666666666399Mbps
vehículo[36]: 0.09482666666666399Mbps
vehículo[37]: 11.5837866666664Mbps
vehículo[38]: 21.0365866666664Mbps
vehículo[39]: 14.1456Mbps
vehículo[40]: 18.8212266666664Mbps
vehículo[41]: 24.7684266666664Mbps
vehículo[42]: 0.09482666666666399Mbps
vehículo[43]: 0.09482666666666399Mbps
vehículo[44]: 13.7506133333336Mbps
vehículo[45]: 14.90048Mbps
vehículo[46]: 0.21578666666666402Mbps
vehículo[47]: 18.16864Mbps
vehículo[48]: 0.09482666666666399Mbps
vehículo[49]: 0.09482666666666399Mbps
vehículo[50]: 0.09482666666666399Mbps
vehículo[51]: 0.09482666666666399Mbps
vehículo[52]: 0.09482666666666399Mbps
vehículo[53]: 0.09482666666666399Mbps
vehículo[54]: 0.09482666666666399Mbps
vehículo[55]: 0.082133333333336Mbps
vehículo[56]: 0.09482666666666399Mbps
vehículo[57]: 0.09482666666666399Mbps
vehículo[58]: 0.082133333333336Mbps
vehículo[59]: 0.07392Mbps
vehículo[60]: 0.07392Mbps
vehículo[61]: 0.082133333333336Mbps
vehículo[62]: 0.07392Mbps
vehículo[63]: 0.09482666666666399Mbps
vehículo[64]: 0.09482666666666399Mbps
vehículo[65]: 0.09482666666666399Mbps
vehículo[66]: 0.09482666666666399Mbps
vehículo[67]: 0.09482666666666399Mbps
