OMNET-car[0] - SUMO-car[0]: -1308883068#1
OMNET-car[1] - SUMO-car[1]: -1308883069#1
OMNET-car[2] - SUMO-car[10]: -37871790#9
OMNET-car[3] - SUMO-car[11]: -449972311#0
OMNET-car[4] - SUMO-car[12]: -449972311#1
OMNET-car[5] - SUMO-car[13]: 1305447699#0
OMNET-car[6] - SUMO-car[14]: 1305447699#1
OMNET-car[7] - SUMO-car[15]: 1308883067
OMNET-car[8] - SUMO-car[16]: 1308883068#0
OMNET-car[9] - SUMO-car[17]: 1308883069#0
OMNET-car[10] - SUMO-car[18]: 1308883069#2
OMNET-car[11] - SUMO-car[19]: 1308883069#3
OMNET-car[12] - SUMO-car[2]: -1308883069#2
OMNET-car[13] - SUMO-car[20]: 1308883069#4
OMNET-car[14] - SUMO-car[21]: 138022926
OMNET-car[15] - SUMO-car[22]: 189868533#0
OMNET-car[16] - SUMO-car[23]: 189868533#2
OMNET-car[17] - SUMO-car[24]: 262805402#1
OMNET-car[18] - SUMO-car[25]: 262805402#3
OMNET-car[19] - SUMO-car[26]: 26540080#1
OMNET-car[20] - SUMO-car[27]: 27778904
OMNET-car[21] - SUMO-car[28]: 27781315#0
OMNET-car[22] - SUMO-car[29]: 27781315#1
OMNET-car[23] - SUMO-car[3]: -1308883069#3
OMNET-car[24] - SUMO-car[30]: 27781824#0
OMNET-car[25] - SUMO-car[31]: 27781824#1
OMNET-car[26] - SUMO-car[32]: 27781824#2
OMNET-car[27] - SUMO-car[33]: 27781824#3
OMNET-car[28] - SUMO-car[34]: 27781824#4
OMNET-car[29] - SUMO-car[35]: 27781843#0
OMNET-car[30] - SUMO-car[36]: 27781843#1
OMNET-car[31] - SUMO-car[37]: 27781843#2
OMNET-car[32] - SUMO-car[38]: 27781843#3
OMNET-car[33] - SUMO-car[39]: 27781878
OMNET-car[34] - SUMO-car[4]: -1308883069#5
OMNET-car[35] - SUMO-car[40]: 27781952#0
OMNET-car[36] - SUMO-car[41]: 27781952#1
OMNET-car[37] - SUMO-car[42]: 27781952#2
OMNET-car[38] - SUMO-car[43]: 27781952#3
OMNET-car[39] - SUMO-car[44]: 27781952#4
OMNET-car[40] - SUMO-car[45]: 27781952#5
OMNET-car[41] - SUMO-car[46]: 27782011#0
OMNET-car[42] - SUMO-car[47]: 27782011#1
OMNET-car[43] - SUMO-car[48]: 27782011#4
OMNET-car[44] - SUMO-car[49]: 27782022#1
OMNET-car[45] - SUMO-car[5]: -138022926
OMNET-car[46] - SUMO-car[50]: 27782022#2
OMNET-car[47] - SUMO-car[51]: 27782022#4
OMNET-car[48] - SUMO-car[52]: 27782024#0
OMNET-car[49] - SUMO-car[53]: 27782024#1
OMNET-car[50] - SUMO-car[54]: 342452092#1
OMNET-car[51] - SUMO-car[55]: 342452096
OMNET-car[52] - SUMO-car[56]: 344744211#0
OMNET-car[53] - SUMO-car[57]: 344744212#0
OMNET-car[54] - SUMO-car[58]: 344744212#1
OMNET-car[55] - SUMO-car[59]: 346319159
OMNET-car[56] - SUMO-car[6]: -342452096
OMNET-car[57] - SUMO-car[60]: 371630999#0
OMNET-car[58] - SUMO-car[61]: 371630999#3
OMNET-car[59] - SUMO-car[62]: 371630999#4
OMNET-car[60] - SUMO-car[63]: 371630999#5
OMNET-car[61] - SUMO-car[64]: 37464544
OMNET-car[62] - SUMO-car[65]: 37688113#0
OMNET-car[63] - SUMO-car[66]: 37688113#1
OMNET-car[64] - SUMO-car[67]: 37688113#2
OMNET-car[65] - SUMO-car[68]: 37688114
OMNET-car[66] - SUMO-car[69]: 37871790#0
OMNET-car[67] - SUMO-car[7]: -37871790#3
OMNET-car[68] - SUMO-car[70]: 37871790#4
OMNET-car[69] - SUMO-car[71]: 37871790#6
OMNET-car[70] - SUMO-car[72]: 37871790#7
OMNET-car[71] - SUMO-car[73]: 42937296
OMNET-car[72] - SUMO-car[74]: 449972311#0
OMNET-car[73] - SUMO-car[75]: 449972311#1
OMNET-car[74] - SUMO-car[8]: -37871790#5
OMNET-car[75] - SUMO-car[9]: -37871790#6
