OMNET-car[0] - SUMO-car[0]: -1236916919#2
OMNET-car[1] - SUMO-car[1]: -1307408463#1
OMNET-car[2] - SUMO-car[10]: -1307408464#0
OMNET-car[3] - SUMO-car[100]: 127737005#1
OMNET-car[4] - SUMO-car[101]: 127737005#1
OMNET-car[5] - SUMO-car[102]: 127737005#1
OMNET-car[6] - SUMO-car[103]: 127737005#4
OMNET-car[7] - SUMO-car[104]: 127737005#4
OMNET-car[8] - SUMO-car[105]: 127737005#4
OMNET-car[9] - SUMO-car[106]: 130443654#0
OMNET-car[10] - SUMO-car[107]: 130443655#0
OMNET-car[11] - SUMO-car[108]: 1305398464
OMNET-car[12] - SUMO-car[109]: 1305398464
OMNET-car[13] - SUMO-car[11]: -1307408464#0
OMNET-car[14] - SUMO-car[110]: 1305398464
OMNET-car[15] - SUMO-car[111]: 1305447698#1
OMNET-car[16] - SUMO-car[112]: 1305447698#1
OMNET-car[17] - SUMO-car[113]: 1305447698#1
OMNET-car[18] - SUMO-car[114]: 1305447699#0
OMNET-car[19] - SUMO-car[115]: 1305447699#0
OMNET-car[20] - SUMO-car[116]: 1305447699#0
OMNET-car[21] - SUMO-car[117]: 1305447699#1
OMNET-car[22] - SUMO-car[118]: 1305447699#1
OMNET-car[23] - SUMO-car[119]: 1305447699#1
OMNET-car[24] - SUMO-car[12]: -1307408464#0
OMNET-car[25] - SUMO-car[120]: 1305447699#2
OMNET-car[26] - SUMO-car[121]: 1305447699#2
OMNET-car[27] - SUMO-car[122]: 1305447699#2
OMNET-car[28] - SUMO-car[123]: 1305447699#3
OMNET-car[29] - SUMO-car[124]: 1305447701#1
OMNET-car[30] - SUMO-car[125]: 1305447701#1
OMNET-car[31] - SUMO-car[126]: 1305447701#1
OMNET-car[32] - SUMO-car[127]: 1305447704
OMNET-car[33] - SUMO-car[128]: 1305447704
OMNET-car[34] - SUMO-car[129]: 1305447704
OMNET-car[35] - SUMO-car[13]: -1308883069#1
OMNET-car[36] - SUMO-car[130]: 1305447705#0
OMNET-car[37] - SUMO-car[131]: 1305447706#0
OMNET-car[38] - SUMO-car[132]: 1305447706#0
OMNET-car[39] - SUMO-car[133]: 1305447706#0
OMNET-car[40] - SUMO-car[134]: 1305447710
OMNET-car[41] - SUMO-car[135]: 1305447710
OMNET-car[42] - SUMO-car[136]: 1305447710
OMNET-car[43] - SUMO-car[137]: 1307365011
OMNET-car[44] - SUMO-car[138]: 1307365011
OMNET-car[45] - SUMO-car[139]: 1307365011
OMNET-car[46] - SUMO-car[14]: -1308883069#1
OMNET-car[47] - SUMO-car[140]: 1307408463#0
OMNET-car[48] - SUMO-car[141]: 1307408463#0
OMNET-car[49] - SUMO-car[142]: 1307408463#0
OMNET-car[50] - SUMO-car[143]: 1307408463#2
OMNET-car[51] - SUMO-car[144]: 1307408463#2
OMNET-car[52] - SUMO-car[145]: 1307408463#2
OMNET-car[53] - SUMO-car[146]: 1307408463#3
OMNET-car[54] - SUMO-car[147]: 1307408463#3
OMNET-car[55] - SUMO-car[148]: 1307408463#3
OMNET-car[56] - SUMO-car[149]: 1307408464#0
OMNET-car[57] - SUMO-car[15]: -1308883069#1
OMNET-car[58] - SUMO-car[150]: 1307408464#0
OMNET-car[59] - SUMO-car[151]: 1307408464#0
OMNET-car[60] - SUMO-car[152]: 1308883061#1
OMNET-car[61] - SUMO-car[153]: 1308883061#1
OMNET-car[62] - SUMO-car[154]: 1308883061#1
OMNET-car[63] - SUMO-car[155]: 1308883069#0
OMNET-car[64] - SUMO-car[156]: 1308883069#0
OMNET-car[65] - SUMO-car[157]: 1308883069#0
OMNET-car[66] - SUMO-car[158]: 1308883069#2
OMNET-car[67] - SUMO-car[159]: 1308883069#2
OMNET-car[68] - SUMO-car[16]: -1308883069#2
OMNET-car[69] - SUMO-car[160]: 1308883069#2
OMNET-car[70] - SUMO-car[161]: 1308883069#3
OMNET-car[71] - SUMO-car[162]: 1308883069#3
OMNET-car[72] - SUMO-car[163]: 1308883069#3
OMNET-car[73] - SUMO-car[164]: 1308883069#4
OMNET-car[74] - SUMO-car[165]: 1308883069#4
OMNET-car[75] - SUMO-car[166]: 1308883069#4
OMNET-car[76] - SUMO-car[167]: 134206507
OMNET-car[77] - SUMO-car[168]: 134206507
OMNET-car[78] - SUMO-car[169]: 134206507
OMNET-car[79] - SUMO-car[17]: -1308883069#2
OMNET-car[80] - SUMO-car[170]: 170397679#0
OMNET-car[81] - SUMO-car[171]: 170397682#0
OMNET-car[82] - SUMO-car[172]: 170397682#1
OMNET-car[83] - SUMO-car[173]: 170397682#2
OMNET-car[84] - SUMO-car[174]: 170397682#2
OMNET-car[85] - SUMO-car[175]: 170397682#2
OMNET-car[86] - SUMO-car[176]: 170397682#5
OMNET-car[87] - SUMO-car[177]: 170397682#5
OMNET-car[88] - SUMO-car[178]: 170397682#5
OMNET-car[89] - SUMO-car[179]: 170397682#6
OMNET-car[90] - SUMO-car[18]: -1308883069#2
OMNET-car[91] - SUMO-car[180]: 170397682#6
OMNET-car[92] - SUMO-car[181]: 170397682#6
OMNET-car[93] - SUMO-car[182]: 189868533#1
OMNET-car[94] - SUMO-car[183]: 189868533#1
OMNET-car[95] - SUMO-car[184]: 189868533#1
OMNET-car[96] - SUMO-car[185]: 189868533#3
OMNET-car[97] - SUMO-car[186]: 189868533#3
OMNET-car[98] - SUMO-car[187]: 189868533#3
OMNET-car[99] - SUMO-car[188]: 189868533#4
OMNET-car[100] - SUMO-car[189]: 189868533#4
OMNET-car[101] - SUMO-car[19]: -1308883069#3
OMNET-car[102] - SUMO-car[190]: 189868533#4
OMNET-car[103] - SUMO-car[191]: 23182314
OMNET-car[104] - SUMO-car[192]: 23182314
OMNET-car[105] - SUMO-car[193]: 23182314
OMNET-car[106] - SUMO-car[194]: 23182340#0
OMNET-car[107] - SUMO-car[195]: 23182340#0
OMNET-car[108] - SUMO-car[196]: 23182340#0
OMNET-car[109] - SUMO-car[197]: 23182365
OMNET-car[110] - SUMO-car[198]: 23182365
OMNET-car[111] - SUMO-car[199]: 23182365
OMNET-car[112] - SUMO-car[2]: -1307408463#1
OMNET-car[113] - SUMO-car[20]: -1308883069#3
OMNET-car[114] - SUMO-car[200]: 23182379#1
OMNET-car[115] - SUMO-car[201]: 23182379#1
OMNET-car[116] - SUMO-car[202]: 23182379#1
OMNET-car[117] - SUMO-car[203]: 262805402#1
OMNET-car[118] - SUMO-car[204]: 262805402#1
OMNET-car[119] - SUMO-car[205]: 262805402#1
OMNET-car[120] - SUMO-car[206]: 262805402#3
OMNET-car[121] - SUMO-car[207]: 262805402#3
OMNET-car[122] - SUMO-car[208]: 262805402#3
OMNET-car[123] - SUMO-car[209]: 262805402#4
OMNET-car[124] - SUMO-car[21]: -1308883069#3
OMNET-car[125] - SUMO-car[210]: 262805402#4
OMNET-car[126] - SUMO-car[211]: 262805402#4
OMNET-car[127] - SUMO-car[212]: 26540080#1
OMNET-car[128] - SUMO-car[213]: 26540080#1
