OMNET-car[0] - SUMO-car[0]: -1236916919#2
OMNET-car[1] - SUMO-car[1]: -1308883068#1
OMNET-car[2] - SUMO-car[10]: -1308883069#5
OMNET-car[3] - SUMO-car[100]: 23182365
OMNET-car[4] - SUMO-car[101]: 23182365
OMNET-car[5] - SUMO-car[102]: 23182366
OMNET-car[6] - SUMO-car[103]: 23182366
OMNET-car[7] - SUMO-car[104]: 262805402#1
OMNET-car[8] - SUMO-car[105]: 262805402#1
OMNET-car[9] - SUMO-car[106]: 262805402#3
OMNET-car[10] - SUMO-car[107]: 262805402#3
OMNET-car[11] - SUMO-car[108]: 262805402#4
OMNET-car[12] - SUMO-car[109]: 262805402#4
OMNET-car[13] - SUMO-car[11]: -138022926#1
OMNET-car[14] - SUMO-car[110]: 26540080#1
OMNET-car[15] - SUMO-car[111]: 26540080#1
OMNET-car[16] - SUMO-car[112]: 27778904
OMNET-car[17] - SUMO-car[113]: 27778904
OMNET-car[18] - SUMO-car[114]: 27781315#0
OMNET-car[19] - SUMO-car[115]: 27781315#0
OMNET-car[20] - SUMO-car[116]: 27781315#1
OMNET-car[21] - SUMO-car[117]: 27781315#1
OMNET-car[22] - SUMO-car[118]: 27781315#2
OMNET-car[23] - SUMO-car[119]: 27781315#2
OMNET-car[24] - SUMO-car[12]: -138022926#1
OMNET-car[25] - SUMO-car[120]: 27781315#3
OMNET-car[26] - SUMO-car[121]: 27781315#3
OMNET-car[27] - SUMO-car[122]: 27781803#0
OMNET-car[28] - SUMO-car[123]: 27781803#0
OMNET-car[29] - SUMO-car[124]: 27781803#1
OMNET-car[30] - SUMO-car[125]: 27781803#1
OMNET-car[31] - SUMO-car[126]: 27781803#2
OMNET-car[32] - SUMO-car[127]: 27781803#2
OMNET-car[33] - SUMO-car[128]: 27781803#3
OMNET-car[34] - SUMO-car[129]: 27781803#3
OMNET-car[35] - SUMO-car[13]: -138022926#2
OMNET-car[36] - SUMO-car[130]: 27781803#4
OMNET-car[37] - SUMO-car[131]: 27781803#4
OMNET-car[38] - SUMO-car[132]: 27781803#5
OMNET-car[39] - SUMO-car[133]: 27781803#5
OMNET-car[40] - SUMO-car[134]: 27781803#6
OMNET-car[41] - SUMO-car[135]: 27781803#6
OMNET-car[42] - SUMO-car[136]: 27781803#7
OMNET-car[43] - SUMO-car[137]: 27781803#7
OMNET-car[44] - SUMO-car[138]: 27781824#0
OMNET-car[45] - SUMO-car[139]: 27781824#0
OMNET-car[46] - SUMO-car[14]: -138022926#2
OMNET-car[47] - SUMO-car[140]: 27781824#1
OMNET-car[48] - SUMO-car[141]: 27781824#1
OMNET-car[49] - SUMO-car[142]: 27781824#2
OMNET-car[50] - SUMO-car[143]: 27781824#2
OMNET-car[51] - SUMO-car[144]: 27781824#3
OMNET-car[52] - SUMO-car[145]: 27781824#3
OMNET-car[53] - SUMO-car[146]: 27781824#4
OMNET-car[54] - SUMO-car[147]: 27781824#4
OMNET-car[55] - SUMO-car[148]: 27781824#5
OMNET-car[56] - SUMO-car[149]: 27781824#5
OMNET-car[57] - SUMO-car[15]: -342452096
OMNET-car[58] - SUMO-car[150]: 27781824#6
OMNET-car[59] - SUMO-car[151]: 27781824#6
OMNET-car[60] - SUMO-car[152]: 27781843#1
OMNET-car[61] - SUMO-car[153]: 27781843#1
OMNET-car[62] - SUMO-car[154]: 27781843#2
OMNET-car[63] - SUMO-car[156]: 27781843#3
OMNET-car[64] - SUMO-car[157]: 27781843#3
OMNET-car[65] - SUMO-car[158]: 27781873
OMNET-car[66] - SUMO-car[159]: 27781873
OMNET-car[67] - SUMO-car[16]: -342452096
OMNET-car[68] - SUMO-car[160]: 27781878
OMNET-car[69] - SUMO-car[161]: 27781878
OMNET-car[70] - SUMO-car[162]: 27781952#2
OMNET-car[71] - SUMO-car[163]: 27781952#2
OMNET-car[72] - SUMO-car[164]: 27781952#3
OMNET-car[73] - SUMO-car[165]: 27781952#3
OMNET-car[74] - SUMO-car[166]: 27781952#4
OMNET-car[75] - SUMO-car[167]: 27781952#4
OMNET-car[76] - SUMO-car[168]: 27781952#5
OMNET-car[77] - SUMO-car[169]: 27781952#5
OMNET-car[78] - SUMO-car[17]: -353164584
OMNET-car[79] - SUMO-car[170]: 27781952#6
OMNET-car[80] - SUMO-car[171]: 27781952#6
OMNET-car[81] - SUMO-car[172]: 27781952#7
OMNET-car[82] - SUMO-car[173]: 27781952#7
OMNET-car[83] - SUMO-car[174]: 27781952#8
OMNET-car[84] - SUMO-car[175]: 27781952#8
OMNET-car[85] - SUMO-car[176]: 27782011#0
OMNET-car[86] - SUMO-car[177]: 27782011#0
OMNET-car[87] - SUMO-car[178]: 27782011#1
OMNET-car[88] - SUMO-car[179]: 27782011#1
OMNET-car[89] - SUMO-car[18]: -353164584
OMNET-car[90] - SUMO-car[180]: 27782011#2
OMNET-car[91] - SUMO-car[181]: 27782011#2
OMNET-car[92] - SUMO-car[182]: 27782011#5
OMNET-car[93] - SUMO-car[183]: 27782011#5
OMNET-car[94] - SUMO-car[184]: 27782022#1
OMNET-car[95] - SUMO-car[185]: 27782022#1
OMNET-car[96] - SUMO-car[186]: 27782022#2
OMNET-car[97] - SUMO-car[187]: 27782022#2
OMNET-car[98] - SUMO-car[188]: 27782022#3
OMNET-car[99] - SUMO-car[189]: 27782022#3
OMNET-car[100] - SUMO-car[19]: -37871790#15
OMNET-car[101] - SUMO-car[190]: 27782022#5
OMNET-car[102] - SUMO-car[191]: 27782022#5
OMNET-car[103] - SUMO-car[192]: 27782024#0
OMNET-car[104] - SUMO-car[193]: 27782024#0
OMNET-car[105] - SUMO-car[194]: 27782024#1
OMNET-car[106] - SUMO-car[195]: 27782024#1
OMNET-car[107] - SUMO-car[196]: 324352204
OMNET-car[108] - SUMO-car[197]: 324352204
OMNET-car[109] - SUMO-car[198]: 342452092#1
OMNET-car[110] - SUMO-car[199]: 342452092#1
OMNET-car[111] - SUMO-car[2]: -1308883068#1
OMNET-car[112] - SUMO-car[20]: -37871790#15
OMNET-car[113] - SUMO-car[200]: 342452096
OMNET-car[114] - SUMO-car[201]: 342452096
OMNET-car[115] - SUMO-car[202]: 344744211#0
OMNET-car[116] - SUMO-car[203]: 344744211#0
OMNET-car[117] - SUMO-car[204]: 344744212#0
OMNET-car[118] - SUMO-car[205]: 344744212#0
OMNET-car[119] - SUMO-car[206]: 344744212#1
OMNET-car[120] - SUMO-car[207]: 344744212#1
OMNET-car[121] - SUMO-car[208]: 344744212#2
OMNET-car[122] - SUMO-car[209]: 344744212#2
OMNET-car[123] - SUMO-car[21]: -37871790#17
OMNET-car[124] - SUMO-car[210]: 346316518
OMNET-car[125] - SUMO-car[211]: 346316518
OMNET-car[126] - SUMO-car[212]: 346316519#0
OMNET-car[127] - SUMO-car[213]: 346316519#0
OMNET-car[128] - SUMO-car[214]: 346316519#1
OMNET-car[129] - SUMO-car[215]: 346316519#1
OMNET-car[130] - SUMO-car[216]: 346316520
OMNET-car[131] - SUMO-car[217]: 346316520
OMNET-car[132] - SUMO-car[218]: 346316521
OMNET-car[133] - SUMO-car[219]: 346319158#0
OMNET-car[134] - SUMO-car[22]: -37871790#17
OMNET-car[135] - SUMO-car[220]: 346319158#0
OMNET-car[136] - SUMO-car[221]: 346319158#1
OMNET-car[137] - SUMO-car[222]: 346319158#1
OMNET-car[138] - SUMO-car[223]: 346319158#2
OMNET-car[139] - SUMO-car[224]: 346319158#2
OMNET-car[140] - SUMO-car[225]: 346319158#3
OMNET-car[141] - SUMO-car[226]: 346319158#3
OMNET-car[142] - SUMO-car[227]: 346319159
OMNET-car[143] - SUMO-car[228]: 346319159
OMNET-car[144] - SUMO-car[229]: 353164584
OMNET-car[145] - SUMO-car[23]: -37871790#19
OMNET-car[146] - SUMO-car[230]: 353164584
OMNET-car[147] - SUMO-car[231]: 353784734#1
OMNET-car[148] - SUMO-car[232]: 353784734#1
OMNET-car[149] - SUMO-car[233]: 353784734#2
OMNET-car[150] - SUMO-car[234]: 353784734#2
OMNET-car[151] - SUMO-car[235]: 359289122
OMNET-car[152] - SUMO-car[236]: 359289122
OMNET-car[153] - SUMO-car[237]: 371630999#0
OMNET-car[154] - SUMO-car[238]: 371630999#0
OMNET-car[155] - SUMO-car[239]: 371630999#3
OMNET-car[156] - SUMO-car[24]: -37871790#19
OMNET-car[157] - SUMO-car[240]: 371630999#3
OMNET-car[158] - SUMO-car[241]: 371630999#4
OMNET-car[159] - SUMO-car[242]: 371630999#4
OMNET-car[160] - SUMO-car[243]: 371630999#5
OMNET-car[161] - SUMO-car[244]: 371630999#5
OMNET-car[162] - SUMO-car[245]: 371630999#6
OMNET-car[163] - SUMO-car[246]: 371630999#6
OMNET-car[164] - SUMO-car[247]: 37464544
OMNET-car[165] - SUMO-car[248]: 37464544
OMNET-car[166] - SUMO-car[249]: 37468440#0
OMNET-car[167] - SUMO-car[25]: -37871790#21
OMNET-car[168] - SUMO-car[250]: 37468440#0
OMNET-car[169] - SUMO-car[251]: 37468440#1
OMNET-car[170] - SUMO-car[252]: 37468440#1
OMNET-car[171] - SUMO-car[253]: 37468442#2
OMNET-car[172] - SUMO-car[254]: 37468442#2
OMNET-car[173] - SUMO-car[255]: 37480174#1
OMNET-car[174] - SUMO-car[256]: 37480174#1
OMNET-car[175] - SUMO-car[257]: 37480174#2
