OMNET-car[0] - SUMO-car[0]: -101332765#0
OMNET-car[1] - SUMO-car[1]: -1055983337
OMNET-car[2] - SUMO-car[10]: -1308883069#5
OMNET-car[3] - SUMO-car[100]: 220847830#0
OMNET-car[4] - SUMO-car[101]: 220847830#2
OMNET-car[5] - SUMO-car[102]: 220847830#3
OMNET-car[6] - SUMO-car[103]: 23034777#0
OMNET-car[7] - SUMO-car[104]: 23034861#0
OMNET-car[8] - SUMO-car[105]: 23034861#1
OMNET-car[9] - SUMO-car[106]: 23182340#0
OMNET-car[10] - SUMO-car[107]: 23182379#1
OMNET-car[11] - SUMO-car[108]: 23589864
OMNET-car[12] - SUMO-car[109]: 252731820
OMNET-car[13] - SUMO-car[11]: -1324129157
OMNET-car[14] - SUMO-car[110]: 257441893
OMNET-car[15] - SUMO-car[111]: 26540081#0
OMNET-car[16] - SUMO-car[112]: 26540081#1
OMNET-car[17] - SUMO-car[113]: 26540081#2
OMNET-car[18] - SUMO-car[114]: 26540081#3
OMNET-car[19] - SUMO-car[115]: 276251544
OMNET-car[20] - SUMO-car[116]: 27781167#1
OMNET-car[21] - SUMO-car[117]: 27781167#2
OMNET-car[22] - SUMO-car[118]: 27781230
OMNET-car[23] - SUMO-car[119]: 27781803#7
OMNET-car[24] - SUMO-car[12]: -133270813
OMNET-car[25] - SUMO-car[120]: 27781803#8
OMNET-car[26] - SUMO-car[121]: 27781843#0
OMNET-car[27] - SUMO-car[122]: 27781931#1
OMNET-car[28] - SUMO-car[123]: 27781931#2
OMNET-car[29] - SUMO-car[124]: 27781943#1
OMNET-car[30] - SUMO-car[125]: 27781949#0
OMNET-car[31] - SUMO-car[126]: 27781949#1
OMNET-car[32] - SUMO-car[127]: 27781952#0
OMNET-car[33] - SUMO-car[128]: 27781952#1
OMNET-car[34] - SUMO-car[129]: 27781952#2
OMNET-car[35] - SUMO-car[13]: -170397679#1
OMNET-car[36] - SUMO-car[130]: 28106649#1
OMNET-car[37] - SUMO-car[131]: 28621658#0
OMNET-car[38] - SUMO-car[132]: 28621658#2
OMNET-car[39] - SUMO-car[133]: 28621749#2
OMNET-car[40] - SUMO-car[134]: 29176417
OMNET-car[41] - SUMO-car[135]: 341040608#0
OMNET-car[42] - SUMO-car[136]: 37074507#0
OMNET-car[43] - SUMO-car[137]: 371194047#1
OMNET-car[44] - SUMO-car[138]: 371198932
OMNET-car[45] - SUMO-car[139]: 371198941
OMNET-car[46] - SUMO-car[14]: -22898196
OMNET-car[47] - SUMO-car[140]: 37464531#0
OMNET-car[48] - SUMO-car[141]: 37464531#10
OMNET-car[49] - SUMO-car[142]: 37464531#11
OMNET-car[50] - SUMO-car[143]: 37464531#3
OMNET-car[51] - SUMO-car[144]: 37464531#6
OMNET-car[52] - SUMO-car[145]: 37464531#9
OMNET-car[53] - SUMO-car[146]: 37468440#1
OMNET-car[54] - SUMO-car[147]: 37468440#2
OMNET-car[55] - SUMO-car[148]: 37480173#0
OMNET-car[56] - SUMO-car[149]: 37480173#1
OMNET-car[57] - SUMO-car[15]: -23589864
OMNET-car[58] - SUMO-car[150]: 37480173#2
OMNET-car[59] - SUMO-car[151]: 37480173#3
OMNET-car[60] - SUMO-car[152]: 37480173#4
OMNET-car[61] - SUMO-car[153]: 37709787#0
OMNET-car[62] - SUMO-car[154]: 37738036#1
OMNET-car[63] - SUMO-car[155]: 37738036#2
OMNET-car[64] - SUMO-car[156]: 37871790#20
OMNET-car[65] - SUMO-car[157]: 37871790#22
OMNET-car[66] - SUMO-car[158]: 37871790#24
OMNET-car[67] - SUMO-car[159]: 37981427#0
OMNET-car[68] - SUMO-car[16]: -37871790#21
OMNET-car[69] - SUMO-car[160]: 37981427#3
OMNET-car[70] - SUMO-car[161]: 37981427#6
OMNET-car[71] - SUMO-car[162]: 37981427#7
OMNET-car[72] - SUMO-car[163]: 37981428#0
OMNET-car[73] - SUMO-car[164]: 37981428#1
OMNET-car[74] - SUMO-car[165]: 37981428#4
OMNET-car[75] - SUMO-car[166]: 37981428#5
OMNET-car[76] - SUMO-car[167]: 37981428#8
OMNET-car[77] - SUMO-car[168]: 37981429#0
OMNET-car[78] - SUMO-car[169]: 37981429#1
OMNET-car[79] - SUMO-car[17]: -37871790#23
OMNET-car[80] - SUMO-car[170]: 37981429#2
OMNET-car[81] - SUMO-car[171]: 37981430#0
OMNET-car[82] - SUMO-car[172]: 400205210#1
OMNET-car[83] - SUMO-car[173]: 423677223#1
OMNET-car[84] - SUMO-car[174]: 431552366#1
OMNET-car[85] - SUMO-car[175]: 432945507
OMNET-car[86] - SUMO-car[176]: 480941491#0
OMNET-car[87] - SUMO-car[177]: 480941492#1
OMNET-car[88] - SUMO-car[178]: 480941493#0
OMNET-car[89] - SUMO-car[179]: 485610844#1
OMNET-car[90] - SUMO-car[18]: -37871790#24
OMNET-car[91] - SUMO-car[180]: 485610845
OMNET-car[92] - SUMO-car[181]: 485610846#0
OMNET-car[93] - SUMO-car[182]: 586894810#0
OMNET-car[94] - SUMO-car[183]: 586894810#1
OMNET-car[95] - SUMO-car[184]: 61293131#2
OMNET-car[96] - SUMO-car[185]: 61293132#0
OMNET-car[97] - SUMO-car[186]: 626760685#0
OMNET-car[98] - SUMO-car[187]: 626760685#1
OMNET-car[99] - SUMO-car[188]: 626761548#6
OMNET-car[100] - SUMO-car[189]: 731934656
OMNET-car[101] - SUMO-car[19]: -825730280
OMNET-car[102] - SUMO-car[190]: 734833212
OMNET-car[103] - SUMO-car[191]: 759599228#0
OMNET-car[104] - SUMO-car[192]: 80877380#1
OMNET-car[105] - SUMO-car[193]: 81111451
OMNET-car[106] - SUMO-car[194]: 81400143#0
OMNET-car[107] - SUMO-car[195]: 81400143#1
OMNET-car[108] - SUMO-car[196]: 81400143#2
OMNET-car[109] - SUMO-car[197]: 81400143#5
OMNET-car[110] - SUMO-car[198]: 81400143#6
OMNET-car[111] - SUMO-car[199]: 825730280
OMNET-car[112] - SUMO-car[2]: -1219540847#1
OMNET-car[113] - SUMO-car[20]: 101332768#0
OMNET-car[114] - SUMO-car[200]: 8272336#2
OMNET-car[115] - SUMO-car[21]: 101332768#1
OMNET-car[116] - SUMO-car[22]: 101332768#2
OMNET-car[117] - SUMO-car[23]: 1055733688#1
OMNET-car[118] - SUMO-car[24]: 1055983337
OMNET-car[119] - SUMO-car[25]: 1067810267#0
OMNET-car[120] - SUMO-car[26]: 107623504
OMNET-car[121] - SUMO-car[27]: 110801297#1
OMNET-car[122] - SUMO-car[28]: 110801297#2
OMNET-car[123] - SUMO-car[29]: 1157626540#0
OMNET-car[124] - SUMO-car[3]: -1257931284
OMNET-car[125] - SUMO-car[30]: 1157626540#1
OMNET-car[126] - SUMO-car[31]: 1219540847#1
OMNET-car[127] - SUMO-car[32]: 1236916912#1
OMNET-car[128] - SUMO-car[33]: 1236916917#1
OMNET-car[129] - SUMO-car[34]: 1236916918#0
OMNET-car[130] - SUMO-car[35]: 1236916918#1
OMNET-car[131] - SUMO-car[36]: 1236916918#2
OMNET-car[132] - SUMO-car[37]: 1236916918#3
OMNET-car[133] - SUMO-car[38]: 1246915842
OMNET-car[134] - SUMO-car[39]: 125743679
OMNET-car[135] - SUMO-car[4]: -127736995#3
OMNET-car[136] - SUMO-car[40]: 125743680
OMNET-car[137] - SUMO-car[41]: 125743687#1
OMNET-car[138] - SUMO-car[42]: 1257926253#2
OMNET-car[139] - SUMO-car[43]: 1257931284
OMNET-car[140] - SUMO-car[44]: 1257931285
OMNET-car[141] - SUMO-car[45]: 127736988#1
OMNET-car[142] - SUMO-car[46]: 127736995#0
OMNET-car[143] - SUMO-car[47]: 127737005#1
OMNET-car[144] - SUMO-car[48]: 127737005#4
OMNET-car[145] - SUMO-car[49]: 130443654#0
OMNET-car[146] - SUMO-car[5]: -1307365025#0
OMNET-car[147] - SUMO-car[50]: 130443655#0
OMNET-car[148] - SUMO-car[51]: 1305398464
OMNET-car[149] - SUMO-car[52]: 1305447706#0
OMNET-car[150] - SUMO-car[53]: 1305447710
OMNET-car[151] - SUMO-car[54]: 1305598375#1
OMNET-car[152] - SUMO-car[55]: 1305598380#1
OMNET-car[153] - SUMO-car[56]: 1307250191
OMNET-car[154] - SUMO-car[57]: 1307362896#0
OMNET-car[155] - SUMO-car[58]: 1307365011
OMNET-car[156] - SUMO-car[59]: 1307365012#0
OMNET-car[157] - SUMO-car[6]: -1307408463#1
OMNET-car[158] - SUMO-car[60]: 1307365012#1
OMNET-car[159] - SUMO-car[61]: 1307365025#1
OMNET-car[160] - SUMO-car[62]: 1307408463#0
OMNET-car[161] - SUMO-car[63]: 1307408463#2
OMNET-car[162] - SUMO-car[64]: 1307408463#3
OMNET-car[163] - SUMO-car[65]: 1307408464#0
OMNET-car[164] - SUMO-car[66]: 1308883066#0
OMNET-car[165] - SUMO-car[67]: 1308883066#1
OMNET-car[166] - SUMO-car[68]: 1308883069#4
OMNET-car[167] - SUMO-car[69]: 1324129152
OMNET-car[168] - SUMO-car[7]: -1307408463#2
OMNET-car[169] - SUMO-car[70]: 1324129157
OMNET-car[170] - SUMO-car[71]: 1331114905
OMNET-car[171] - SUMO-car[72]: 133266923#0
OMNET-car[172] - SUMO-car[73]: 133266925#1
OMNET-car[173] - SUMO-car[74]: 133266925#2
OMNET-car[174] - SUMO-car[75]: 133266925#3
OMNET-car[175] - SUMO-car[76]: 133266925#4
OMNET-car[176] - SUMO-car[77]: 133266928
OMNET-car[177] - SUMO-car[78]: 133270813
OMNET-car[178] - SUMO-car[79]: 134206507
OMNET-car[179] - SUMO-car[8]: -1307408463#3
OMNET-car[180] - SUMO-car[80]: 134640692#2
OMNET-car[181] - SUMO-car[81]: 134640693#0
OMNET-car[182] - SUMO-car[82]: 134640693#2
OMNET-car[183] - SUMO-car[83]: 149449754#0
OMNET-car[184] - SUMO-car[84]: 149449754#2
OMNET-car[185] - SUMO-car[85]: 149449754#3
OMNET-car[186] - SUMO-car[86]: 154484172#0
OMNET-car[187] - SUMO-car[87]: 158526038#2
OMNET-car[188] - SUMO-car[88]: 158526038#3
OMNET-car[189] - SUMO-car[89]: 170397679#0
OMNET-car[190] - SUMO-car[9]: -1307408464#0
OMNET-car[191] - SUMO-car[90]: 170397682#0
OMNET-car[192] - SUMO-car[91]: 170397682#1
OMNET-car[193] - SUMO-car[92]: 170397682#2
OMNET-car[194] - SUMO-car[93]: 170397682#5
OMNET-car[195] - SUMO-car[94]: 170397682#6
OMNET-car[196] - SUMO-car[95]: 186768349#1
OMNET-car[197] - SUMO-car[96]: 186768349#2
OMNET-car[198] - SUMO-car[97]: 186768349#3
OMNET-car[199] - SUMO-car[98]: 189868533#4
OMNET-car[200] - SUMO-car[99]: 220847821#0
