OMNET-car[0] - SUMO-car[0]: -1181812801#2
OMNET-car[1] - SUMO-car[1]: -1305462789#2
OMNET-car[2] - SUMO-car[10]: -342452096
OMNET-car[3] - SUMO-car[100]: 342452096
OMNET-car[4] - SUMO-car[101]: 344744211#0
OMNET-car[5] - SUMO-car[102]: 344744212#0
OMNET-car[6] - SUMO-car[103]: 344744212#1
OMNET-car[7] - SUMO-car[104]: 344744212#2
OMNET-car[8] - SUMO-car[105]: 346316518
OMNET-car[9] - SUMO-car[106]: 346316519#0
OMNET-car[10] - SUMO-car[107]: 346316519#1
OMNET-car[11] - SUMO-car[108]: 346316520
OMNET-car[12] - SUMO-car[109]: 346316521
OMNET-car[13] - SUMO-car[11]: -353164584
OMNET-car[14] - SUMO-car[110]: 346319158#0
OMNET-car[15] - SUMO-car[111]: 346319159
OMNET-car[16] - SUMO-car[112]: 353164584
OMNET-car[17] - SUMO-car[113]: 353784734#1
OMNET-car[18] - SUMO-car[114]: 353784734#2
OMNET-car[19] - SUMO-car[115]: 371630999#3
OMNET-car[20] - SUMO-car[116]: 371630999#4
OMNET-car[21] - SUMO-car[117]: 371630999#5
OMNET-car[22] - SUMO-car[118]: 371630999#6
OMNET-car[23] - SUMO-car[119]: 37434089
OMNET-car[24] - SUMO-car[12]: -37871790#13
OMNET-car[25] - SUMO-car[120]: 37434090#1
OMNET-car[26] - SUMO-car[121]: 37434090#2
OMNET-car[27] - SUMO-car[122]: 37438487#2
OMNET-car[28] - SUMO-car[123]: 37438487#3
OMNET-car[29] - SUMO-car[124]: 37438487#4
OMNET-car[30] - SUMO-car[125]: 37464529#0
OMNET-car[31] - SUMO-car[126]: 37464529#2
OMNET-car[32] - SUMO-car[127]: 37464529#3
OMNET-car[33] - SUMO-car[128]: 37464533#0
OMNET-car[34] - SUMO-car[129]: 37464533#1
OMNET-car[35] - SUMO-car[13]: -37871790#15
OMNET-car[36] - SUMO-car[130]: 37464536#0
OMNET-car[37] - SUMO-car[131]: 37464536#1
OMNET-car[38] - SUMO-car[132]: 37464536#2
OMNET-car[39] - SUMO-car[133]: 37464540#1
OMNET-car[40] - SUMO-car[134]: 37464540#2
OMNET-car[41] - SUMO-car[135]: 37464540#4
OMNET-car[42] - SUMO-car[136]: 37468440#0
OMNET-car[43] - SUMO-car[137]: 37468440#1
OMNET-car[44] - SUMO-car[138]: 37468442#0
OMNET-car[45] - SUMO-car[139]: 37468442#1
OMNET-car[46] - SUMO-car[14]: -37871790#17
OMNET-car[47] - SUMO-car[140]: 37468442#2
OMNET-car[48] - SUMO-car[141]: 37480174#4
OMNET-car[49] - SUMO-car[142]: 37480177
OMNET-car[50] - SUMO-car[143]: 37480178
OMNET-car[51] - SUMO-car[144]: 37688113#5
OMNET-car[52] - SUMO-car[145]: 37871790#0
OMNET-car[53] - SUMO-car[146]: 37871790#13
OMNET-car[54] - SUMO-car[147]: 37871790#14
