OMNET-car[0] - SUMO-car[0]: -1031294018
OMNET-car[1] - SUMO-car[1]: -1055983337
OMNET-car[2] - SUMO-car[10]: -1305462798#2
OMNET-car[3] - SUMO-car[100]: 257441891#1
OMNET-car[4] - SUMO-car[101]: 257441893
OMNET-car[5] - SUMO-car[102]: 257441894
OMNET-car[6] - SUMO-car[103]: 257441895
OMNET-car[7] - SUMO-car[104]: 26540081#0
OMNET-car[8] - SUMO-car[105]: 26540081#1
OMNET-car[9] - SUMO-car[106]: 26540081#2
OMNET-car[10] - SUMO-car[107]: 26540081#3
OMNET-car[11] - SUMO-car[108]: 26540081#4
OMNET-car[12] - SUMO-car[109]: 26540081#5
OMNET-car[13] - SUMO-car[11]: -1307250188#2
OMNET-car[14] - SUMO-car[110]: 276251544
OMNET-car[15] - SUMO-car[111]: 27781931#2
OMNET-car[16] - SUMO-car[112]: 28621749#2
OMNET-car[17] - SUMO-car[113]: 301613950#0
OMNET-car[18] - SUMO-car[114]: 301613950#1
OMNET-car[19] - SUMO-car[115]: 301613950#3
OMNET-car[20] - SUMO-car[116]: 301613950#4
OMNET-car[21] - SUMO-car[117]: 301613950#5
OMNET-car[22] - SUMO-car[118]: 310919274#0
OMNET-car[23] - SUMO-car[119]: 310919274#1
OMNET-car[24] - SUMO-car[12]: -1307250192#1
OMNET-car[25] - SUMO-car[120]: 310919274#2
OMNET-car[26] - SUMO-car[121]: 371194047#1
OMNET-car[27] - SUMO-car[122]: 371198932
OMNET-car[28] - SUMO-car[123]: 371198936#0
OMNET-car[29] - SUMO-car[124]: 371198941
OMNET-car[30] - SUMO-car[125]: 372053981#0
OMNET-car[31] - SUMO-car[126]: 372053981#1
OMNET-car[32] - SUMO-car[127]: 37438486#0
OMNET-car[33] - SUMO-car[128]: 37438486#1
OMNET-car[34] - SUMO-car[129]: 37438486#2
OMNET-car[35] - SUMO-car[13]: -1307250194#0
OMNET-car[36] - SUMO-car[130]: 37438487#4
OMNET-car[37] - SUMO-car[131]: 37438487#5
OMNET-car[38] - SUMO-car[132]: 37438487#6
OMNET-car[39] - SUMO-car[133]: 37438487#7
OMNET-car[40] - SUMO-car[134]: 37438487#8
OMNET-car[41] - SUMO-car[135]: 37438487#9
OMNET-car[42] - SUMO-car[136]: 37438488
OMNET-car[43] - SUMO-car[137]: 37464531#0
OMNET-car[44] - SUMO-car[138]: 37464531#10
OMNET-car[45] - SUMO-car[139]: 37464531#11
OMNET-car[46] - SUMO-car[14]: -1324129157
OMNET-car[47] - SUMO-car[140]: 37464531#3
OMNET-car[48] - SUMO-car[141]: 37464531#6
OMNET-car[49] - SUMO-car[142]: 37464531#9
OMNET-car[50] - SUMO-car[143]: 37468440#1
OMNET-car[51] - SUMO-car[144]: 37468440#2
OMNET-car[52] - SUMO-car[145]: 37516823#0
OMNET-car[53] - SUMO-car[146]: 37516823#1
OMNET-car[54] - SUMO-car[147]: 37871790#20
OMNET-car[55] - SUMO-car[148]: 37871790#22
OMNET-car[56] - SUMO-car[149]: 37981426#0
OMNET-car[57] - SUMO-car[15]: -133270813
OMNET-car[58] - SUMO-car[150]: 37981426#1
OMNET-car[59] - SUMO-car[151]: 37981426#3
OMNET-car[60] - SUMO-car[152]: 37981427#0
OMNET-car[61] - SUMO-car[153]: 37981427#3
OMNET-car[62] - SUMO-car[154]: 37981427#6
OMNET-car[63] - SUMO-car[155]: 37981427#7
OMNET-car[64] - SUMO-car[156]: 37981428#0
OMNET-car[65] - SUMO-car[157]: 37981428#1
OMNET-car[66] - SUMO-car[158]: 37981428#4
OMNET-car[67] - SUMO-car[159]: 37981428#5
OMNET-car[68] - SUMO-car[16]: -133270816#2
OMNET-car[69] - SUMO-car[160]: 37981428#8
OMNET-car[70] - SUMO-car[161]: 37981429#0
OMNET-car[71] - SUMO-car[162]: 37981429#1
OMNET-car[72] - SUMO-car[163]: 423677221
OMNET-car[73] - SUMO-car[164]: 423677223#1
OMNET-car[74] - SUMO-car[165]: 426578845#1
OMNET-car[75] - SUMO-car[166]: 431552366#1
OMNET-car[76] - SUMO-car[167]: 433126008
OMNET-car[77] - SUMO-car[168]: 50732506#0
OMNET-car[78] - SUMO-car[169]: 586894810#0
OMNET-car[79] - SUMO-car[17]: -133270848#2
OMNET-car[80] - SUMO-car[170]: 586894810#1
OMNET-car[81] - SUMO-car[171]: 621732902#1
OMNET-car[82] - SUMO-car[172]: 621732902#2
OMNET-car[83] - SUMO-car[173]: 731934656
OMNET-car[84] - SUMO-car[174]: 734833212
OMNET-car[85] - SUMO-car[175]: 81400143#0
OMNET-car[86] - SUMO-car[176]: 81400143#1
OMNET-car[87] - SUMO-car[177]: 81400143#2
OMNET-car[88] - SUMO-car[178]: 81400143#5
OMNET-car[89] - SUMO-car[18]: -133270848#3
OMNET-car[90] - SUMO-car[19]: -133270848#5
OMNET-car[91] - SUMO-car[2]: -1055983338#2
OMNET-car[92] - SUMO-car[20]: -170397679#1
OMNET-car[93] - SUMO-car[21]: -22898196
OMNET-car[94] - SUMO-car[22]: -23589864
OMNET-car[95] - SUMO-car[23]: -238704531
OMNET-car[96] - SUMO-car[24]: -257441894
OMNET-car[97] - SUMO-car[25]: -372053981#0
OMNET-car[98] - SUMO-car[26]: -372053981#1
OMNET-car[99] - SUMO-car[27]: -37871790#21
OMNET-car[100] - SUMO-car[28]: -37871790#23
OMNET-car[101] - SUMO-car[29]: -37981426#0
OMNET-car[102] - SUMO-car[3]: -1055983338#4
OMNET-car[103] - SUMO-car[30]: -37981426#1
OMNET-car[104] - SUMO-car[31]: -37981426#3
OMNET-car[105] - SUMO-car[32]: -50732506#0
OMNET-car[106] - SUMO-car[33]: 1031294018
OMNET-car[107] - SUMO-car[34]: 1055733688#1
OMNET-car[108] - SUMO-car[35]: 1055983337
OMNET-car[109] - SUMO-car[36]: 1055983338#0
OMNET-car[110] - SUMO-car[37]: 1055983338#4
OMNET-car[111] - SUMO-car[38]: 1055983338#6
OMNET-car[112] - SUMO-car[39]: 1055983338#7
OMNET-car[113] - SUMO-car[4]: -1055983338#6
OMNET-car[114] - SUMO-car[40]: 1067810267#0
OMNET-car[115] - SUMO-car[41]: 107623504
OMNET-car[116] - SUMO-car[42]: 1157626540#0
OMNET-car[117] - SUMO-car[43]: 1157626540#1
OMNET-car[118] - SUMO-car[44]: 1157626540#3
OMNET-car[119] - SUMO-car[45]: 1181812799
OMNET-car[120] - SUMO-car[46]: 1181812800#0
OMNET-car[121] - SUMO-car[47]: 1181812800#2
OMNET-car[122] - SUMO-car[48]: 1219540847#1
OMNET-car[123] - SUMO-car[49]: 1257931284
OMNET-car[124] - SUMO-car[5]: -1055983338#7
OMNET-car[125] - SUMO-car[50]: 1257931285
OMNET-car[126] - SUMO-car[51]: 127736988#0
OMNET-car[127] - SUMO-car[52]: 127736988#1
OMNET-car[128] - SUMO-car[53]: 127736995#0
OMNET-car[129] - SUMO-car[54]: 127737005#0
OMNET-car[130] - SUMO-car[55]: 127737005#1
OMNET-car[131] - SUMO-car[56]: 127737005#4
OMNET-car[132] - SUMO-car[57]: 127900938#0
OMNET-car[133] - SUMO-car[58]: 1305398463
OMNET-car[134] - SUMO-car[59]: 1305398464
OMNET-car[135] - SUMO-car[6]: -1219540847#1
OMNET-car[136] - SUMO-car[60]: 1305462798#0
OMNET-car[137] - SUMO-car[61]: 1305462801
OMNET-car[138] - SUMO-car[62]: 1305598375#1
OMNET-car[139] - SUMO-car[63]: 1305598380#1
OMNET-car[140] - SUMO-car[64]: 1307250188#0
OMNET-car[141] - SUMO-car[65]: 1307250191
OMNET-car[142] - SUMO-car[66]: 1307250192#1
OMNET-car[143] - SUMO-car[67]: 1307250194#0
OMNET-car[144] - SUMO-car[68]: 1308883065
OMNET-car[145] - SUMO-car[69]: 1309404366#0
OMNET-car[146] - SUMO-car[7]: -1257931284
OMNET-car[147] - SUMO-car[70]: 1309404367#0
OMNET-car[148] - SUMO-car[71]: 1324129152
OMNET-car[149] - SUMO-car[72]: 1324129157
OMNET-car[150] - SUMO-car[73]: 133266923#0
OMNET-car[151] - SUMO-car[74]: 133266924
OMNET-car[152] - SUMO-car[75]: 133266925#1
OMNET-car[153] - SUMO-car[76]: 133266925#2
OMNET-car[154] - SUMO-car[77]: 133266925#3
OMNET-car[155] - SUMO-car[78]: 133266928
OMNET-car[156] - SUMO-car[79]: 133270813
OMNET-car[157] - SUMO-car[8]: -127736995#3
OMNET-car[158] - SUMO-car[80]: 133270816#0
OMNET-car[159] - SUMO-car[81]: 133270848#0
OMNET-car[160] - SUMO-car[82]: 133270848#3
OMNET-car[161] - SUMO-car[83]: 133270848#4
OMNET-car[162] - SUMO-car[84]: 170397679#0
OMNET-car[163] - SUMO-car[85]: 170397682#0
OMNET-car[164] - SUMO-car[86]: 170397682#1
OMNET-car[165] - SUMO-car[87]: 170397682#2
OMNET-car[166] - SUMO-car[88]: 170397682#5
OMNET-car[167] - SUMO-car[89]: 170397682#6
OMNET-car[168] - SUMO-car[9]: -127900938#2
OMNET-car[169] - SUMO-car[90]: 186768349#3
OMNET-car[170] - SUMO-car[91]: 23589864
OMNET-car[171] - SUMO-car[92]: 238704380
